m_kg,t_dp_s,t_grut_s,enhancement
1e-12,1.580119593946659e-06,689078939.5231179,436092902184706.1
1.3257113655901109e-12,8.990668799383254e-07,571000283.1622013,635103234145796.8
1.7575106248547894e-12,5.115570097976578e-07,473155257.94033736,924931628104343.8
2.329951810515372e-12,2.910690851953865e-07,392076684.93045425,1347022768382510.2
3.088843596477485e-12,1.6561440999506576e-07,324891511.37244374,1961734557893382.5
4.094915062380419e-12,9.423238053468384e-08,269219002.86061156,2856969136649592.5
5.428675439323859e-12,5.361696208378211e-08,223086381.03559017,4160742652427684.5
7.1968567300115285e-12,3.0507333113967304e-08,184858917.36744797,6059491227137557.0
9.540954763499924e-12,1.735826383211085e-08,153182005.87427735,8824730823073892.0
1.2648552168552957e-11,9.876619570106421e-09,126933162.09910361,1.2851883298541982e+16
1.67683293681101e-11,5.619664217348567e-09,105182247.40901427,1.8716820674855316e+16
2.222996482526191e-11,3.197513652478148e-09,87158509.14809318,2.725821329348924e+16
2.94705170255181e-11,1.819342430855758e-09,72223268.69835624,3.969745742937729e+16
3.906939937054621e-11,1.0351814692477722e-09,59847289.63883481,5.781333168794415e+16
5.179474679231202e-11,5.890043875742179e-10,49592024.03416159,8.419635758301157e+16
6.866488450042999e-11,3.351356055801259e-10,41094072.30714377,1.2261923717716944e+17
9.102981779915227e-11,1.9068766973048287e-10,34052306.02448249,1.785763393753349e+17
1.2067926406393264e-10,1.084987294152141e-10,28217197.286223497,2.6006937996701347e+17
1.5998587196060573e-10,6.173432346912733e-11,23381976.601443894,3.787516455596532e+17
2.1209508879201926e-10,3.5126002993141353e-11,19375305.9258438,5.5159438236189274e+17
2.8117686979742364e-10,1.998622511658695e-11,16055207.227298992,8.033136389509827e+17
3.727593720314938e-10,1.1371894333918097e-11,13304031.435585631,1.1699045950422433e+18
4.941713361323838e-10,6.470455525614605e-12,11024289.498929555,1.7037887758114831e+18
6.551285568595495e-10,3.6816025087468475e-12,9135197.819145784,2.4813101896367524e+18
8.68511373751352e-10,2.0947825046867164e-12,7569815.651433021,3.613652316885814e+18
1.151395399326448e-09,1.1919031811598777e-12,6272673.031402242,5.262737049915507e+18
1.5264179671752366e-09,6.781769420360411e-13,5197805.173951948,7.664379090133848e+18
2.0235896477251556e-09,3.8587359441544015e-13,4307123.692101975,1.1162006818908756e+19
2.6826957952797275e-09,2.195569056359591e-13,3569066.9192514834,1.6255771636576301e+19
3.556480306223121e-09,1.2492493788144268e-13,2957481.5084724813,2.367406827353571e+19
4.71486636345739e-09,7.108061602288397e-14,2450695.6778470897,3.4477693286424293e+19
6.250551925273976e-09,4.0443918243030006e-14,2030751.2619142008,5.021153612543896e+19
8.28642772854686e-09,2.3012047649140915e-14,1682767.3566507313,7.312549418928186e+19
1.0985411419875573e-08,1.3093546817699795e-14,1394413.0084844122,1.0649620212908632e+20
1.4563484775012444e-08,7.450052723739052e-15,1155470.261855165,1.550955818303598e+20
1.9306977288832496e-08,4.238980190719812e-15,957472.0817347927,2.2587321446581387e+20
2.5595479226995333e-08,2.411922938485819e-15,793402.320739666,3.2895011199559965e+20
3.3932217718953296e-08,1.3723518392300412e-15,657447.0990470579,4.7906599477865605e+20
4.498432668969444e-08,7.808498109895802e-16,544788.7871596228,6.976870321185139e+20
5.963623316594637e-08,4.442930813314974e-16,451435.2912120904,1.0160754469981584e+21
7.906043210907701e-08,2.527968110395945e-16,374078.5914744483,1.479759930262166e+21
1.0481131341546853e-07,1.438379987378348e-16,309977.52130496164,2.15504612150465e+21
1.389495494373136e-07,8.184189427003841e-17,256860.6327767656,3.1384981379982547e+21
1.8420699693267165e-07,4.6566941395759746e-17,212845.70698134767,4.570746984914255e+21
2.4420530945486497e-07,2.6495965792301967e-17,176373.0568232397,6.656600412523269e+21
3.23745754281764e-07,1.5075849566765e-17,146150.25886286623,9.694329876112407e+21
4.2919342601287785e-07,8.577956430852615e-18,121106.35575755527,1.4118322555471148e+22
5.689866029018293e-07,4.880742289430741e-18,100353.90644526653,2.0561197558531856e+22
7.543120063354607e-07,2.7770769749025e-18,83157.5393036053,2.9944268759970133e+22
1e-06,1.5801195939466586e-18,68907.89395231182,4.360929021847064e+22
